OBJECTID,Project_Name,Units,NEAR_HAWKER,NEAR_MRT,NParks_KM2,NEAR_LIB,CYCLE_M,MATURE_KM2,Shape_Length,Shape_Area
"1",Ang Mo Kio,"430",316.513761426129,659.171931534927,0.276183367,27.7102025739779,6509.83069896698,0.336160308649596,452.606943236001,10587.1051371939
"2",Bedok 1,"730",1219.0234995801,336.716731321276,0.330940068,2066.43059730995,6020.87786388397,0.0450088101381425,792.817400203563,34340.5127792103
"3",Bedok 2,"710",1063.94987725051,333.107564571654,0.294433951,1972.9099581029,6138.50125408173,0.0574834931205714,620.927302956621,20482.7210724669
"4",Bedok 3,"340",962.809591594242,8.34597434467376,0.0668092817,1866.62183922702,6692.33280241489,0.0872058387103607,577.704509751206,19189.4442959539
"5",Bukit Batok,"690",286.003697046551,144.476002301352,0,1266.71649309329,1850.46390628815,0.260233721626038,797.06038404185,32088.525055135
"6",Geylang,"420",122.882448507565,1.49196364467966,0.0364627279,1048.3713570113,2932.34890699387,0.183488378541597,1038.39954617631,21798.8545273984
"7",Jurong West,"1840",1003.55360894849,1010.24099848598,0.360464275,1224.71994803908,4711.60417342186,0.08819231060383,1076.44641234424,59789.7019925436
"8",Kallang Whampoa 1,"360",254.907339326453,461.854712020019,0.00616598921,1392.41194038148,6369.18417263031,0.281391032217357,483.890299294538,11665.1695166536
"9",Kallang Whampoa 2,"310",45.8854607139687,254.626576711538,0.0460882857,1418.10633692185,6891.22795200348,0.0836763256811537,392.477072333915,10022.4946454885
"10",Kallang Whampoa 3,"270",277.370782899204,409.397162530247,0.00618181843,1263.97053214253,8455.08833312988,0.156981547923579,549.229086024218,16985.6986584102
"11",Pasir Ris 1,"280",278.758241004421,239.783986742861,0.666210651,310.834954257439,16338.6575593948,0.222347310038003,637.804887511456,22320.4008393764
"12",Pasir Ris 2,"480",177.756111752501,241.2690832546,0.679968178,308.251962234531,16674.5881922245,0.262854698066803,995.804143128291,55126.1743933742
"13",Sengkang 1,"550",283.849049481872,106.119657380965,0.20371139,1619.74277036261,10653.1566076279,0.347937359713363,542.773451649108,18778.228029084
"14",Sengkang 2,"840",796.148817591756,177.118713974415,0.194523528,1994.73748682367,10663.0958595276,0.174077560569749,1035.39987823671,66455.0258957588
"15",Woodlands,"290",561.303669702578,151.659567654306,0.163716704,1354.05163974237,4630.17464351654,0.290055329205643,889.695695460411,44557.1940670433
